TAIUTC       26     UNIT(DAY, SEC)   FORMAT(I2,1X,A3,I3,4X,F20.12,3X,F10.6)
800927    2444509.500000000000      .039941   -.02593   .34347
800928    2444510.500000000000      .037262   -.02543   .34397
800929    2444511.500000000000      .034785   -.02493   .34447
800930    2444512.500000000000      .032472   -.02453   .34507
801001    2444513.500000000000      .030286   -.02403   .34567
801002    2444514.500000000000      .028162   -.02362   .34628
801003    2444515.500000000000      .026027   -.02322   .34688
801004    2444516.500000000000      .023841   -.02272   .34758
801005    2444517.500000000000      .021598   -.02232   .34818
801006    2444518.500000000000      .019264   -.02182   .34888
801007    2444519.500000000000      .016859   -.02132   .34968
801008    2444520.500000000000      .014395   -.02082   .35038
801009    2444521.500000000000      .011904   -.02022   .35118
801010    2444522.500000000000      .009414   -.01962   .35198
801011    2444523.500000000000      .006951   -.01902   .35268
801012    2444524.500000000000      .004550   -.01842   .35348
801013    2444525.500000000000      .002197   -.01772   .35428
801014    2444526.500000000000     -.000105   -.01712   .35508
801015    2444527.500000000000     -.002364   -.01642   .35588
801016    2444528.500000000000     -.004624   -.01572   .35658
801017    2444529.500000000000     -.006911   -.01502   .35738
801018    2444530.500000000000     -.009301   -.01442   .35808
801019    2444531.500000000000     -.011852   -.01372   .35868
801020    2444532.500000000000     -.014599   -.01302   .35928
801021    2444533.500000000000     -.017566   -.01242   .35988
801022    2444534.500000000000     -.020721   -.01172   .36048
801023    2444535.500000000000     -.023975   -.01102   .36098
801024    2444536.500000000000     -.027198   -.01032   .36148
801025    2444537.500000000000     -.030298   -.00962   .36198
801026    2444538.500000000000     -.033200   -.00892   .36238
801027    2444539.500000000000     -.035899   -.00822   .36278
801028    2444540.500000000000     -.038434   -.00752   .36318
801029    2444541.500000000000     -.040854   -.00682   .36358
801030    2444542.500000000000     -.043247   -.00602   .36398
801031    2444543.500000000000     -.045656   -.00532   .36438
801101    2444544.500000000000     -.048109   -.00462   .36468
801102    2444545.500000000000     -.050610   -.00392   .36508
801103    2444546.500000000000     -.053153   -.00322   .36538
801104    2444547.500000000000     -.055740   -.00242   .36568
801105    2444548.500000000000     -.058312   -.00172   .36608
801106    2444549.500000000000     -.060853   -.00092   .36638
801107    2444550.500000000000     -.063329   -.00012   .36678
801108    2444551.500000000000     -.065711    .00069   .36719
801109    2444552.500000000000     -.068004    .00159   .36759
801110    2444553.500000000000     -.070193    .00249   .36799
801111    2444554.500000000000     -.072308    .00349   .36839
801112    2444555.500000000000     -.074382    .00439   .36879
